iter	RMSE
0	0.7566112529
1	0.654827318
2	0.5832706728
3	0.5324026417
4	0.4975265275
5	0.4734211101
6	0.456772587
7	0.442031256
8	0.433436138
9	0.4265255164
10	0.420868062
11	0.4165348916
12	0.4122586984
13	0.4067722429
14	0.4044006919
15	0.4009612096
16	0.3975870932
17	0.3957625465
18	0.3935049116
19	0.390493209
20	0.3884697426
21	0.3863155308
22	0.383857695
23	0.3807352378
24	0.3788894091
25	0.3771278429
26	0.3757231253
27	0.3745778994
28	0.372919487
29	0.3714253925
30	0.3699433464
31	0.3680603664
32	0.367116295
33	0.365597706
34	0.3647970001
35	0.3634433822
36	0.3625662862
37	0.3617595017
38	0.3610005731
39	0.3602232869
40	0.3590540353
41	0.3581134737
42	0.3576386273
43	0.3572978191
44	0.3563956081
45	0.3555769884
46	0.3543938259
47	0.3533058065
48	0.3525044472
49	0.351747507
50	0.3508106598
51	0.3504054395
52	0.3498577719
53	0.3489486561
54	0.3482538338
55	0.3476588453
56	0.3471381149
57	0.3460429671
58	0.3449257221
59	0.344231043
60	0.3439022152
61	0.3436793107
62	0.3426953382
63	0.3418800402
64	0.3413586934
65	0.3409387364
66	0.3404383892
67	0.3401123655
68	0.339469541
69	0.3383676463
70	0.3378357381
71	0.3371827517
72	0.3367507543
73	0.3361528548
74	0.3352500749
75	0.3341335597
76	0.3334069217
77	0.3326911822
78	0.3325674718
79	0.3322796793
80	0.3318997749
81	0.3314511237
82	0.3309058646
83	0.3305403439
84	0.3301335153
85	0.3298585552
86	0.3294136544
87	0.3290876545
88	0.3285669153
89	0.3281747988
90	0.3275519109
91	0.3269878756
92	0.3267493787
93	0.3261478331
94	0.3256187491
95	0.3253798888
96	0.3249575151
97	0.3245091271
98	0.3242852087
99	0.3237379867
100	0.3232160397
101	0.3226640517
102	0.3224282724
103	0.3222081009
104	0.3216697037
105	0.3211075224
106	0.3206397844
107	0.3200398203
108	0.3194968906
109	0.3191213666
110	0.3186900735
111	0.3183503026
112	0.3182605913
113	0.3179736157
114	0.3175846025
115	0.3174240064
116	0.3170441678
117	0.3161825089
118	0.3157154475
119	0.3152230988
120	0.3149498223
121	0.3144180546
122	0.314227725
123	0.3138812697
124	0.3136327648
125	0.3131063437
126	0.3125179244
127	0.3121484243
128	0.3118342277
129	0.3114116546
130	0.3109850761
131	0.3105779474
132	0.3102647805
133	0.310074912
134	0.3098614664
135	0.3092488336
136	0.308733763
137	0.3085917731
138	0.3084175492
139	0.3079728797
140	0.3078406579
141	0.3073966949
142	0.3071355271
143	0.3066482382
144	0.3063360201
145	0.3058801788
146	0.3054773144
147	0.3049877129
148	0.3047907511
149	0.3045884711
150	0.3042961158
151	0.3038679152
152	0.303463195
153	0.3030264822
154	0.3028184638
155	0.3025438044
156	0.3022867286
157	0.3020325383
158	0.3016377962
159	0.3013499633
160	0.3008776346
161	0.3006915176
162	0.3004490228
163	0.3001240723
164	0.3000146306
165	0.2997052323
166	0.2995025599
167	0.2992239841
168	0.2989942203
169	0.2988421809
170	0.2986976636
171	0.298354426
172	0.2977919123
173	0.2977451794
174	0.2975096819
175	0.2973622353
176	0.2969548641
177	0.296663153
178	0.296332172
179	0.295614159
180	0.2953780499
181	0.2951774552
182	0.2949680505
183	0.2948199791
184	0.2946685104
185	0.2945345884
186	0.2940651659
187	0.2937154634
188	0.2935694741
189	0.293254469
190	0.2931052229
191	0.2929896311
192	0.2928213012
193	0.2926045438
194	0.2922144291
195	0.2920796511
196	0.2920768399
197	0.2918302522
198	0.291538922
199	0.2912637748
200	0.2909977424
201	0.2904499941
202	0.2903505178
203	0.2901566127
204	0.2897720902
205	0.2895224513
206	0.2892707943
207	0.2889209296
208	0.2885423371
209	0.2881524259
210	0.2879070717
211	0.2878007136
212	0.2871678638
213	0.2870287281
214	0.2866220308
215	0.2861385086
216	0.2857894215
217	0.285557375
218	0.285112951
219	0.2848240079
220	0.2846048821
221	0.2842546688
222	0.2840513076
223	0.2837799721
224	0.2836700223
225	0.2834040998
226	0.2832780827
227	0.2830699108
228	0.2828969193
229	0.2827780058
230	0.2826350585
231	0.282523259
232	0.2822717831
233	0.282031626
234	0.281577355
235	0.281392157
236	0.2811564973
237	0.2809432073
238	0.2808152051
239	0.280648268
240	0.2803657661
241	0.2801028439
242	0.2798483893
243	0.2796604435
244	0.2794519443
245	0.2793531767
246	0.2791551904
247	0.2787973824
248	0.2784999787
249	0.2783596088
250	0.2780550874
251	0.2778659662
252	0.277734309
253	0.2776114077
254	0.2774697506
255	0.2771435017
256	0.2769156252
257	0.2768132149
258	0.2765883501
259	0.2762988741
260	0.2760672146
261	0.2758520199
262	0.2757693241
263	0.2755490685
264	0.2753907988
265	0.2752654462
266	0.2751471183
267	0.2747895432
268	0.2746087299
269	0.2742826966
270	0.274082612
271	0.2738212647
272	0.2737278939
273	0.2735461662
274	0.2733525127
275	0.2731566308
276	0.2727353976
277	0.2725796731
278	0.2724614127
279	0.2721527106
280	0.2719143378
281	0.2717438508
282	0.2715751496
283	0.2714189257
284	0.2710504114
285	0.2708479889
286	0.2706752567
287	0.2703221903
288	0.270099216
289	0.2700848326
290	0.2697772985
291	0.2696026708
292	0.2693784353
293	0.2691098228
294	0.2687348959
295	0.2685946536
296	0.2683062038
297	0.2680993467
298	0.2678187251
299	0.2677000504
