iter	Passed	Remaining
0	500	149657
1	902	134448
2	1290	127747
3	1587	117470
4	1916	113046
5	2211	108365
6	2548	106659
7	2935	107135
8	3249	105056
9	3573	103644
10	3919	102986
11	4315	103570
12	4669	103089
13	5013	102420
14	5361	101876
15	5745	101978
16	6061	100903
17	6474	101435
18	6809	100711
19	7133	99875
20	7416	98529
21	7718	97538
22	8085	97379
23	8347	96001
24	8645	95099
25	8934	94154
26	9252	93554
27	9589	93156
28	9854	92092
29	10194	91748
30	10487	91006
31	10830	90703
32	11144	90165
33	11532	90222
34	11973	90656
35	12367	90697
36	12779	90835
37	13150	90669
38	13504	90376
39	13881	90232
40	14289	90268
41	14651	90001
42	14961	89422
43	15286	88939
44	15590	88346
45	15965	88156
46	16323	87867
47	16654	87434
48	16931	86733
49	17297	86488
50	17686	86349
51	18034	86008
52	18376	85643
53	18664	85026
54	18958	84451
55	19286	84034
56	19613	83613
57	19948	83231
58	20265	82777
59	20620	82483
60	21006	82304
61	21312	81810
62	21665	81504
63	22031	81242
64	22420	81057
65	22718	80548
66	23078	80258
67	23466	80061
68	23791	79648
69	24259	79709
70	24638	79469
71	25117	79538
72	25733	80021
73	26166	79914
74	26514	79543
75	27124	79945
76	27486	79602
77	27820	79181
78	28235	78987
79	28668	78839
80	29144	78798
81	29767	79137
82	30190	78931
83	30644	78799
84	31196	78909
85	31559	78530
86	32022	78400
87	32390	78032
88	32740	77620
89	33241	77563
90	33564	77086
91	33967	76796
92	34375	76513
93	34756	76167
94	35061	75658
95	35435	75300
96	35741	74799
97	36038	74282
98	36420	73944
99	36840	73680
100	37364	73618
101	37775	73329
102	38143	72953
103	38469	72500
104	38808	72072
105	39253	71841
106	39833	71848
107	40401	71825
108	40861	71600
109	41232	71220
110	41575	70791
111	41871	70284
112	42192	69823
113	42568	69454
114	42926	69055
115	43331	68733
116	43801	68509
117	44199	68172
118	44652	67917
119	45157	67736
120	45617	67484
121	45932	67015
122	46243	66545
123	46617	66166
124	47614	66659
125	48460	66922
126	49602	67568
127	50411	67740
128	51203	67874
129	51868	67827
130	52495	67723
131	53154	67650
132	53675	67397
133	54349	67328
134	54991	67211
135	55451	66868
136	55851	66451
137	56333	66130
138	56974	65991
139	57707	65951
140	58105	65523
141	58469	65057
142	58822	64581
143	59226	64161
144	59548	63655
145	59928	63212
146	60251	62710
147	60693	62334
148	61142	61963
149	61521	61521
150	61902	61082
151	62292	60653
152	62708	60249
153	63207	59923
154	63627	59522
155	63966	59046
156	64351	58612
157	65060	58472
158	65550	58129
159	65918	57678
160	66534	57443
161	67125	57181
162	67542	56769
163	68032	56416
164	68761	56259
165	69244	55896
166	69608	55436
167	70109	55086
168	70836	54908
169	71309	54531
170	71698	54088
171	72030	53603
172	72581	53282
173	72990	52855
174	73338	52384
175	73804	51998
176	74298	51630
177	74779	51253
178	75436	50993
179	75795	50530
180	76199	50098
181	76532	49619
182	76916	49176
183	77470	48840
184	78105	48551
185	78779	48284
186	79278	47906
187	79664	47459
188	79977	46971
189	80407	46551
190	80850	46140
191	81204	45677
192	81560	45217
193	81908	44754
194	82368	44352
195	82966	44022
196	83329	43568
197	83676	43106
198	84096	42681
199	84461	42230
200	84884	41808
201	85344	41404
202	85721	40960
203	86029	40484
204	86376	40028
205	86727	39574
206	87103	39133
207	87495	38699
208	87784	38221
209	88228	37812
210	88617	37378
211	89058	36967
212	89554	36578
213	90103	36209
214	90508	35782
215	90904	35351
216	91311	34925
217	91781	34523
218	92511	34216
219	92944	33797
220	93381	33380
221	93780	32949
222	94131	32502
223	94503	32063
224	94835	31611
225	95116	31144
226	95517	30717
227	95848	30267
228	96198	29825
229	96544	29383
230	96871	28935
231	97254	28505
232	97646	28078
233	98083	27664
234	98485	27240
235	99089	26871
236	99539	26459
237	99941	26035
238	100479	25645
239	100937	25234
240	101381	24819
241	101905	24423
242	102274	23990
243	102693	23568
244	103192	23165
245	103593	22740
246	103937	22302
247	104298	21868
248	104613	21426
249	105067	21013
250	105607	20616
251	106175	20223
252	106507	19786
253	106911	19361
254	107517	18973
255	107959	18555
256	108340	18127
257	108759	17705
258	109273	17298
259	109673	16872
260	110341	16487
261	110722	16058
262	111136	15635
263	111512	15206
264	111853	14773
265	112224	14344
266	112603	13917
267	113087	13502
268	113615	13093
269	114186	12687
270	114537	12256
271	114984	11836
272	115314	11404
273	115686	10977
274	116077	10552
275	116437	10125
276	117012	9715
277	117513	9299
278	117892	8873
279	118278	8448
280	118645	8022
281	118960	7593
282	119301	7166
283	119660	6741
284	120020	6316
285	120367	5892
286	120741	5469
287	121175	5048
288	121604	4628
289	122015	4207
290	122439	3786
291	122834	3365
292	123202	2943
293	123620	2522
294	124249	2105
295	124654	1684
296	125255	1265
297	125953	845
298	126633	423
299	127011	0
